"","Mass","Heteroatom.Class","El_form","Class","C","H","O","N","S","P","H.C","O.C","DBE","AImod","NOSC","GFE"
"C64 H37 O7 N1",930.2502603,"N1 O7","CHON","Other",64,37,7,1,0,0,0.58,0.58,47,0.7143,-0.3125,69.20625
"C43 H49 O20 N1 S1",930.2502603,"N1 S1 O20","CHONS","Lignin",43,49,20,1,1,0,1.14,1.14,20,0.2581,-0.093,62.9505
"C56 H41 O9 N3 S1",930.2502603,"N3 S1 O9","CHONS","Cond Hydrocarbon",56,41,9,3,1,0,0.73,0.73,38,0.6211,-0.2143,66.40755
"C45 H46 O17 N3 P1",930.2502603,"N3 P1 O17","CHONP","Lignin",45,46,17,3,0,1,1.02,1.02,25,0.3846,-0.0667,62.20095
"C35 H53 O22 N3 S2",930.2502603,"N3 S2 O22","CHONS","Amino Sugar",35,53,22,3,2,0,1.51,1.51,11,-0.2632,0.1143,57.04245
"C58 H110 O1 N1 P1 S2",930.7705744,"N1 S2 P1 O1","CHO","Lipid",58,110,1,1,2,1,1.9,1.9,5,0.0093,-1.7414,109.9299
"C64 H103 O1 N1 S1",932.7700655,"N1 S1 O1","CHONS","Lipid",64,103,1,1,1,0,1.61,1.61,14,0.187,-1.5,103.05
"C53 H108 O9 N1 P1",932.7700655,"N1 P1 O9","CHONP","Lipid",53,108,9,1,0,1,2.04,2.04,1,-0.1183,-1.6415,107.08275
"C53 H107 O6 P1 S2",933.7186034,"S2 P1 O6","CHO","Lipid",53,107,6,0,2,1,2.02,2.02,1,-0.1064,-1.717,109.2345
"C56 H42 O11 N1 P1",934.2435941,"N1 P1 O11","CHONP","Cond Hydrocarbon",56,42,11,1,0,1,0.75,0.75,37,0.6082,-0.3036,68.9526
"C64 H95 O1 N2 P1",937.7115532,"N2 P1 O1","CHONP","Other",64,95,1,2,0,1,1.48,1.48,19,0.2562,-1.3594,99.0429
"C54 H102 O6 N2 S2",937.7115532,"N2 S2 O6","CHONS","Lipid",54,102,6,2,2,0,1.89,1.89,5,-0.0426,-1.4815,102.52275
"C55 H110 O8 N1 P1",942.7908335,"N1 P1 O8","CHONP","Lipid",55,110,8,1,0,1,2,2,2,-0.0816,-1.6545,107.45325
"C59 H109 O6 P1",943.7901207,"P1 O6","CHOP","Lipid",59,109,6,0,0,1,1.85,1.85,6,0.0364,-1.6441,107.15685
"C57 H55 O10 N1 S1",944.3486415,"N1 S1 O10","CHONS","Other",57,55,10,1,1,0,0.96,0.96,31,0.48,-0.5263,75.29955
"C46 H60 O18 N1 P1",944.3486415,"N1 P1 O18","CHONP","Lignin",46,60,18,1,0,1,1.3,1.3,18,0.2,-0.4565,73.31025
"C36 H67 O23 N1 S2",944.3486415,"N1 S2 O23","CHONS","Other",36,67,23,1,2,0,1.86,1.86,4,-0.4884,-0.3889,71.38365
"C60 H56 O2 N3 P1 S2",944.3486415,"N3 S2 P1 O2","CHO","Other",60,56,2,3,2,1,0.93,0.93,35,0.5283,-0.65,78.825
"C65 H103 O3 N1",944.787598,"N1 O3","CHON","Lipid",65,103,3,1,0,0,1.58,1.58,15,0.2,-1.4462,101.5167
"C59 H95 O7 P1",945.675357,"P1 O7","CHOP","Lipid",59,95,7,0,0,1,1.61,1.61,13,0.156,-1.3729,99.42765
"C69 H61 O1 N3",946.4752043,"N3 O1","CHON","Other",69,61,1,3,0,0,0.88,0.88,41,0.5725,-0.7246,80.9511
"C48 H73 O14 N3 S1",946.4752043,"N3 S1 O14","CHONS","Other",48,73,14,3,1,0,1.52,1.52,14,0.0811,-0.7083,80.48655
"C37 H78 O22 N3 P1",946.4752043,"N3 P1 O22","CHONP","Other",37,78,22,3,0,1,2.11,2.11,1,-0.6364,-0.6757,79.55745
"C65 H105 O1 N1 S1",946.7856867,"N1 S1 O1","CHONS","Lipid",65,105,1,1,1,0,1.62,1.62,14,0.184,-1.5077,103.26945
"C54 H110 O9 N1 P1",946.7856867,"N1 P1 O9","CHONP","Lipid",54,110,9,1,0,1,2.04,2.04,1,-0.1158,-1.6481,107.27085
"C59 H113 O2 P1 S2",947.7855619,"S2 P1 O2","CHO","Lipid",59,113,2,0,2,1,1.92,1.92,4,0,-1.7797,111.02145
"C45 H75 O20 N1",948.4819668,"N1 O20","CHON","Protein",45,75,20,1,0,0,1.67,1.67,9,-0.0588,-0.7111,80.56635
"C59 H71 O4 N3 S2",948.4819668,"N3 S2 O4","CHONS","Unsat Hydrocarbon",59,71,4,3,2,0,1.2,1.2,26,0.3654,-0.8475,84.45375
"C53 H45 O12 N1 S2",950.231664,"N1 S2 O12","CHONS","Other",53,45,12,1,2,0,0.85,0.85,32,0.5227,-0.2642,67.8297
"C66 H37 O1 N3 S2",950.231664,"N3 S2 O1","CHONS","Other",66,37,1,3,2,0,0.56,0.56,50,0.7355,-0.3333,69.79905
"C55 H42 O9 N3 P1 S1",950.231664,"N3 S1 P1 O9","CHO","Cond Hydrocarbon",55,42,9,3,1,1,0.76,0.76,37,0.6044,-0.2364,67.0374
"C34 H54 O22 N3 P1 S2",950.231664,"N3 S2 P1 O22","CHO","Amino Sugar",34,54,22,3,2,1,1.59,1.59,10,-0.4118,0.0882,57.7863
"C50 H37 O19 N1",954.1894073,"N1 O19","CHON","Cond Hydrocarbon",50,37,19,1,0,0,0.74,0.74,33,0.5696,0.08,58.02
"C42 H41 O21 N3 S1",954.1894073,"N3 S1 O21","CHONS","Lignin",42,41,21,3,1,0,0.98,0.98,24,0.3455,0.2857,52.15755
"C56 H112 O8 N1 P1",956.8060945,"N1 P1 O8","CHONP","Lipid",56,112,8,1,0,1,2,2,2,-0.08,-1.6607,107.62995
"C40 H50 O20 N1 P1 S2",958.2038569,"N1 S2 P1 O20","CHO","Lignin",40,50,20,1,2,1,1.25,1.25,17,0.1154,-0.075,62.4375
"C53 H42 O9 N3 P1 S2",958.2038569,"N3 S2 P1 O9","CHO","Cond Hydrocarbon",53,42,9,3,2,1,0.79,0.79,35,0.5765,-0.2075,66.21375
"C65 H38 O4 N1 P1 S1",958.2195595,"N1 S1 P1 O4","CHO","Other",65,38,4,1,1,1,0.58,0.58,48,0.7167,-0.3846,71.2611
"C44 H50 O17 N1 P1 S2",958.2195595,"N1 S2 P1 O17","CHO","Lignin",44,50,17,1,2,1,1.14,1.14,21,0.2698,-0.2045,66.12825
"C66 H107 O1 N1 S1",960.8012447,"N1 S1 O1","CHONS","Lipid",66,107,1,1,1,0,1.62,1.62,14,0.1811,-1.5152,103.4832
"C55 H112 O9 N1 P1",960.8012447,"N1 P1 O9","CHONP","Lipid",55,112,9,1,0,1,2.04,2.04,1,-0.1134,-1.6545,107.45325
"C62 H107 O1 P1 S2",961.7442958,"S2 P1 O1","CHO","Lipid",62,107,1,0,2,1,1.73,1.73,10,0.1111,-1.629,106.7265
"C60 H102 O5 N2 S1",961.7442958,"N2 S1 O5","CHONS","Lipid",60,102,5,2,1,0,1.7,1.7,11,0.1009,-1.4,100.2
"C60 H115 O2 P1 S2",961.8009476,"S2 P1 O2","CHO","Lipid",60,115,2,0,2,1,1.92,1.92,4,0,-1.7833,111.12405
"C59 H111 O7 P1",961.8009476,"P1 O7","CHOP","Lipid",59,111,7,0,0,1,1.88,1.88,5,0.0092,-1.6441,107.15685
"C50 H45 O17 N1 S1",962.2342679,"N1 S1 O17","CHONS","Lignin",50,45,17,1,1,0,0.9,0.9,29,0.4684,-0.12,63.72
"C63 H37 O6 N3 S1",962.2342679,"N3 S1 O6","CHONS","Other",63,37,6,3,1,0,0.59,0.59,47,0.7143,-0.2222,66.6327
"C52 H42 O14 N3 P1",962.2342679,"N3 P1 O14","CHONP","Cond Hydrocarbon",52,42,14,3,0,1,0.81,0.81,34,0.561,-0.0962,63.0417
"C42 H49 O19 N3 S2",962.2342679,"N3 S2 O19","CHONS","Lignin",42,49,19,3,2,0,1.17,1.17,20,0.2,0.0476,58.9434
"C65 H105 O4 N1",962.7980382,"N1 O4","CHON","Lipid",65,105,4,1,0,0,1.62,1.62,14,0.1774,-1.4462,101.5167
"C52 H43 O14 N3 S1",964.2404482,"N3 S1 O14","CHONS","Other",52,43,14,3,1,0,0.83,0.83,33,0.5366,-0.0769,62.49165
"C41 H48 O22 N3 P1",964.2404482,"N3 P1 O22","CHONP","Lignin",41,48,22,3,0,1,1.17,1.17,20,0.1923,0.122,56.823
"C62 H48 O8 N1 P1",964.3057135,"N1 P1 O8","CHONP","Unsat Hydrocarbon",62,48,8,1,0,1,0.77,0.77,40,0.6071,-0.4677,73.62945
"C41 H60 O21 N1 P1 S1",964.3057135,"N1 S1 P1 O21","CHO","Protein",41,60,21,1,1,1,1.46,1.46,13,-0.0182,-0.3171,69.33735
"C60 H103 O7 P1",965.7381779,"P1 O7","CHOP","Lipid",60,103,7,0,0,1,1.72,1.72,10,0.0991,-1.4833,102.57405
"C63 H38 O8 N1 P1",966.2275769,"N1 P1 O8","CHONP","Cond Hydrocarbon",63,38,8,1,0,1,0.6,0.6,46,0.7018,-0.3016,68.8956
"C42 H50 O21 N1 P1 S1",966.2275769,"N1 S1 P1 O21","CHO","Lignin",42,50,21,1,1,1,1.19,1.19,19,0.193,-0.0714,62.3349
"C51 H55 O14 N1 S2",968.2996681,"N1 S2 O14","CHONS","Other",51,55,14,1,2,0,1.08,1.08,25,0.3659,-0.3922,71.4777
"C50 H51 O19 N1",968.2996681,"N1 O19","CHON","Lignin",50,51,19,1,0,0,1.02,1.02,26,0.3924,-0.2,66
"C64 H47 O3 N3 S2",968.2996681,"N3 S2 O3","CHONS","Other",64,47,3,3,2,0,0.73,0.73,43,0.6348,-0.4375,72.76875
"C53 H52 O11 N3 P1 S1",968.2996681,"N3 S1 P1 O11","CHO","Other",53,52,11,3,1,1,0.98,0.98,30,0.4588,-0.3585,70.51725
"C50 H53 O17 N1 S1",970.296873,"N1 S1 O17","CHONS","Lignin",50,53,17,1,1,0,1.06,1.06,25,0.3671,-0.28,68.28
"C63 H45 O6 N3 S1",970.296873,"N3 S1 O6","CHONS","Unsat Hydrocarbon",63,45,6,3,1,0,0.71,0.71,43,0.6429,-0.3492,70.2522
"C52 H50 O14 N3 P1",970.296873,"N3 P1 O14","CHONP","Other",52,50,14,3,0,1,0.96,0.96,30,0.4634,-0.25,67.425
"C42 H57 O19 N3 S2",970.296873,"N3 S2 O19","CHONS","Lignin",42,57,19,3,2,0,1.36,1.36,16,0.0545,-0.1429,64.37265
"C62 H43 O9 N3",972.293553,"N3 O9","CHON","Cond Hydrocarbon",62,43,9,3,0,0,0.69,0.69,43,0.6514,-0.2581,67.65585
"C41 H55 O22 N3 S1",972.293553,"N3 S1 O22","CHONS","Lignin",41,55,22,3,1,0,1.34,1.34,16,0.0385,0,60.3
"C64 H50 O3 N1 P1 S2",974.290497,"N1 S2 P1 O3","CHO","Other",64,50,3,1,2,1,0.78,0.78,41,0.6068,-0.5781,76.77585
"C67 H109 O1 N1 S1",974.8168442,"N1 S1 O1","CHONS","Lipid",67,109,1,1,1,0,1.63,1.63,14,0.1783,-1.5224,103.6884
"C56 H114 O9 N1 P1",974.8168442,"N1 P1 O9","CHONP","Lipid",56,114,9,1,0,1,2.04,2.04,1,-0.1111,-1.6607,107.62995
"C61 H117 O2 P1 S2",975.8165715,"S2 P1 O2","CHO","Lipid",61,117,2,0,2,1,1.92,1.92,4,0,-1.7869,111.22665
"C60 H113 O7 P1",975.8165715,"P1 O7","CHOP","Lipid",60,113,7,0,0,1,1.88,1.88,5,0.009,-1.65,107.325
"C63 H48 O6 N1 P1 S1",976.2875795,"N1 S1 P1 O6","CHO","Unsat Hydrocarbon",63,48,6,1,1,1,0.76,0.76,41,0.614,-0.4921,74.32485
"C42 H60 O19 N1 P1 S2",976.2875795,"N1 S2 P1 O19","CHO","Lignin",42,60,19,1,2,1,1.43,1.43,14,0.0175,-0.3571,70.47735
"C55 H52 O8 N3 P1 S2",976.2875795,"N3 S2 P1 O8","CHO","Unsat Hydrocarbon",55,52,8,3,2,1,0.95,0.95,32,0.4889,-0.4182,72.2187
"C66 H103 O1 N1 S2",988.7419433,"N1 S2 O1","CHONS","Lipid",66,103,1,1,2,0,1.56,1.56,16,0.2,-1.4242,100.8897
"C55 H108 O9 N1 P1 S1",988.7419433,"N1 S1 P1 O9","CHO","Lipid",55,108,9,1,1,1,1.96,1.96,3,-0.0947,-1.5455,104.34675
"C68 H111 O1 N1 S1",988.8328115,"N1 S1 O1","CHONS","Lipid",68,111,1,1,1,0,1.63,1.63,14,0.1756,-1.5294,103.8879
"C57 H116 O9 N1 P1",988.8328115,"N1 P1 O9","CHONP","Lipid",57,116,9,1,0,1,2.04,2.04,1,-0.1089,-1.6667,107.80095
"C56 H110 O11 S1",989.7708833,"S1 O11","CHOS","Lipid",56,110,11,0,1,0,1.96,1.96,2,-0.0909,-1.5357,104.06745
"C59 H111 O3 N2 P1 S2",989.7708833,"N2 S2 P1 O3","CHO","Lipid",59,111,3,2,2,1,1.88,1.88,6,-0.0095,-1.6102,106.1907
"C62 H119 O2 P1 S2",989.8323515,"S2 P1 O2","CHO","Lipid",62,119,2,0,2,1,1.92,1.92,4,0,-1.7903,111.32355
"C57 H37 O14 N1 S1",990.187362,"N1 S1 O14","CHONS","Cond Hydrocarbon",57,37,14,1,1,0,0.65,0.65,40,0.6458,-0.0702,62.3007
"C46 H42 O22 N1 P1",990.187362,"N1 P1 O22","CHONP","Lignin",46,42,22,1,0,1,0.91,0.91,27,0.4242,0.1087,57.20205
"C60 H38 O6 N3 P1 S2",990.187362,"N3 S2 P1 O6","CHO","Other",60,38,6,3,2,1,0.63,0.63,44,0.6863,-0.2167,66.47595
"C59 H34 O11 N3 P1",990.187362,"N3 P1 O11","CHONP","Cond Hydrocarbon",59,34,11,3,0,1,0.58,0.58,45,0.7172,-0.0508,61.7478
"C65 H103 O2 N1 S2",992.7371892,"N1 S2 O2","CHONS","Lipid",65,103,2,1,2,0,1.58,1.58,15,0.1803,-1.4154,100.6389
"C54 H108 O10 N1 P1 S1",992.7371892,"N1 S1 P1 O10","CHO","Lipid",54,108,10,1,1,1,2,2,2,-0.1304,-1.537,104.1045
"C59 H38 O11 N3 P1",994.2179134,"N3 P1 O11","CHONP","Cond Hydrocarbon",59,38,11,3,0,1,0.64,0.64,43,0.6768,-0.1186,63.6801
"C49 H45 O16 N3 S2",994.2179134,"N3 S2 O16","CHONS","Lignin",49,45,16,3,2,0,0.92,0.92,29,0.4444,0,60.3
"C66 H46 O3 N1 P1 S2",994.259835,"N1 S2 P1 O3","CHO","Other",66,46,3,1,2,1,0.7,0.7,45,0.6529,-0.5,74.55
"C64 H41 O7 N3 S1",994.259835,"N3 S1 O7","CHONS","Other",64,41,7,3,1,0,0.64,0.64,46,0.6814,-0.25,67.425
"C43 H53 O20 N3 S2",994.259835,"N3 S2 O20","CHONS","Lignin",43,53,20,3,2,0,1.23,1.23,19,0.1429,0,60.3
"C59 H39 O11 N3 S1",996.2243367,"N3 S1 O11","CHONS","Cond Hydrocarbon",59,39,11,3,1,0,0.66,0.66,42,0.6566,-0.1017,63.19845
"C48 H44 O19 N3 P1",996.2243367,"N3 P1 O19","CHONP","Lignin",48,44,19,3,0,1,0.92,0.92,29,0.4493,0.0625,58.51875
"C66 H50 O3 N1 P1 S2",998.290803,"N1 S2 P1 O3","CHO","Other",66,50,3,1,2,1,0.76,0.76,43,0.6198,-0.5606,76.2771
"C62 H34 O12 S1",1001.170809,"S1 O12","CHOS","Cond Hydrocarbon",62,34,12,0,1,0,0.55,0.55,46,0.7091,-0.129,63.9765
"C51 H39 O20 P1",1001.170809,"P1 O20","CHOP","Cond Hydrocarbon",51,39,20,0,0,1,0.76,0.76,33,0.55,0.0196,59.7414
"C43 H43 O22 N2 P1 S1",1001.170809,"N2 S1 P1 O22","CHO","Lignin",43,43,22,2,1,1,1,1,24,0.3214,0.2093,54.33495
"C67 H105 O1 N1 S2",1002.757961,"N1 S2 O1","CHONS","Lipid",67,105,1,1,2,0,1.57,1.57,16,0.1969,-1.4328,101.1348
"C56 H110 O9 N1 P1 S1",1002.757961,"N1 S1 P1 O9","CHO","Lipid",56,110,9,1,1,1,1.96,1.96,3,-0.0928,-1.5536,104.5776
"C69 H113 O1 N1 S1",1002.848196,"N1 S1 O1","CHONS","Lipid",69,113,1,1,1,0,1.64,1.64,14,0.1729,-1.5362,104.0817
"C58 H118 O9 N1 P1",1002.848196,"N1 P1 O9","CHONP","Lipid",58,118,9,1,0,1,2.03,2.03,1,-0.1068,-1.6724,107.9634
"C60 H109 O7 P1 S1",1003.756784,"S1 P1 O7","CHO","Lipid",60,109,7,0,1,1,1.82,1.82,7,0.0275,-1.55,104.475
"C52 H34 O20 N2",1005.164174,"N2 O20","CHON","Cond Hydrocarbon",52,34,20,2,0,0,0.65,0.65,37,0.625,0.2308,53.7222
"C53 H53 O17 N1 S1",1006.297734,"N1 S1 O17","CHONS","Lignin",53,53,17,1,1,0,1,1,28,0.4118,-0.2642,67.8297
"C43 H62 O20 N1 P1 S2",1006.297734,"N1 S2 P1 O20","CHO","Lignin",43,62,20,1,2,1,1.44,1.44,14,0,-0.3488,70.2408
"C56 H54 O9 N3 P1 S2",1006.297734,"N3 S2 P1 O9","CHO","Other",56,54,9,3,2,1,0.96,0.96,32,0.4725,-0.4107,72.00495
"C66 H105 O2 N1 S2",1006.752338,"N1 S2 O2","CHONS","Lipid",66,105,2,1,2,0,1.59,1.59,15,0.1774,-1.4242,100.8897
"C55 H110 O10 N1 P1 S1",1006.752338,"N1 S1 P1 O10","CHO","Lipid",55,110,10,1,1,1,2,2,2,-0.1277,-1.5455,104.34675
"C65 H105 O5 N3",1006.799489,"N3 O5","CHON","Lipid",65,105,5,3,0,0,1.62,1.62,15,0.1597,-1.3231,98.00835
"C67 H44 O10",1007.287415,"O10","CHO","Cond Hydrocarbon",67,44,10,0,0,0,0.66,0.66,46,0.6613,-0.3582,70.5087
"C46 H56 O23 S1",1007.287415,"S1 O23","CHOS","Lignin",46,56,23,0,1,0,1.22,1.22,19,0.194,-0.1739,65.25615
"C70 H45 O2 N2 P1 S1",1007.287415,"N2 S1 P1 O2","CHO","Other",70,45,2,2,1,1,0.64,0.64,50,0.6923,-0.4714,73.7349
"C49 H57 O15 N2 P1 S2",1007.287415,"N2 S2 P1 O15","CHO","Lignin",49,57,15,2,2,1,1.16,1.16,23,0.2877,-0.3469,70.18665
"C63 H30 O14",1009.157197,"O14","CHO","Cond Hydrocarbon",63,30,14,0,0,0,0.48,0.48,49,0.75,-0.0317,61.20345
"C55 H34 O16 N2 S1",1009.157197,"N2 S1 O16","CHONS","Cond Hydrocarbon",55,34,16,2,1,0,0.62,0.62,40,0.6591,0.1091,57.19065
"C67 H107 O2 N1 S2",1020.767852,"N1 S2 O2","CHONS","Lipid",67,107,2,1,2,0,1.6,1.6,15,0.1746,-1.4328,101.1348
"C56 H112 O10 N1 P1 S1",1020.767852,"N1 S1 P1 O10","CHO","Lipid",56,112,10,1,1,1,2,2,2,-0.125,-1.5536,104.5776
"C60 H111 O8 P1 S1",1021.76777,"S1 P1 O8","CHO","Lipid",60,111,8,0,1,1,1.85,1.85,6,0,-1.55,104.475
"C54 H45 O18 N3",1022.263541,"N3 O18","CHON","Lignin",54,45,18,3,0,0,0.83,0.83,34,0.5238,0,60.3
"C62 H122 O3 N1 P1 S2",1022.854523,"N1 S2 P1 O3","CHO","Lipid",62,122,3,1,2,1,1.97,1.97,3,-0.0442,-1.7581,110.40585
"C56 H52 O12 N1 P1 S2",1024.261182,"N1 S2 P1 O12","CHO","Other",56,52,12,1,2,1,0.93,0.93,32,0.4783,-0.375,70.9875
"C54 H47 O16 N3 S1",1024.261182,"N3 S1 O16","CHONS","Lignin",54,47,16,3,1,0,0.87,0.87,33,0.5,-0.0741,62.41185
"C55 H50 O15 N1 P1 S1",1026.258214,"N1 S1 P1 O15","CHO","Other",55,50,15,1,1,1,0.91,0.91,32,0.4831,-0.2727,68.07195
"C53 H45 O19 N3",1026.258214,"N3 O19","CHON","Lignin",53,45,19,3,0,0,0.85,0.85,33,0.5062,0.0377,59.22555
"C55 H52 O13 N1 P1 S2",1028.255331,"N1 S2 P1 O13","CHO","Other",55,52,13,1,2,1,0.95,0.95,31,0.4607,-0.3455,70.14675
"C68 H44 O2 N3 P1 S2",1028.255331,"N3 S2 P1 O2","CHO","Other",68,44,2,3,2,1,0.65,0.65,49,0.6885,-0.3971,71.61735
"C65 H45 O8 N1 S2",1030.25229,"N1 S2 O8","CHONS","Cond Hydrocarbon",65,45,8,1,2,0,0.69,0.69,44,0.6379,-0.3385,69.94725
"C54 H50 O16 N1 P1 S1",1030.25229,"N1 S1 P1 O16","CHO","Lignin",54,50,16,1,1,1,0.93,0.93,31,0.4651,-0.2407,67.15995
"C67 H42 O5 N3 P1 S1",1030.25229,"N3 S1 P1 O5","CHO","Other",67,42,5,3,1,1,0.63,0.63,49,0.6975,-0.3134,69.2319
"C46 H54 O18 N3 P1 S2",1030.25229,"N3 S2 P1 O18","CHO","Lignin",46,54,18,3,2,1,1.17,1.17,22,0.2258,-0.1087,63.39795
"C64 H43 O11 N1 S1",1032.249371,"N1 S1 O11","CHONS","Cond Hydrocarbon",64,43,11,1,1,0,0.67,0.67,44,0.646,-0.25,67.425
"C53 H48 O19 N1 P1",1032.249371,"N1 P1 O19","CHONP","Lignin",53,48,19,1,0,1,0.91,0.91,31,0.4699,-0.1321,64.06485
"C66 H40 O8 N3 P1",1032.249371,"N3 P1 O8","CHONP","Cond Hydrocarbon",66,40,8,3,0,1,0.61,0.61,49,0.7069,-0.2273,66.77805
"C56 H47 O13 N3 S2",1032.249371,"N3 S2 O13","CHONS","Other",56,47,13,3,2,0,0.84,0.84,35,0.5281,-0.1429,64.37265
"C45 H52 O21 N3 P1 S1",1032.249371,"N3 S1 P1 O21","CHO","Lignin",45,52,21,3,1,1,1.16,1.16,22,0.2203,0.0222,59.6673
"C63 H41 O14 N1",1034.246461,"N1 O14","CHON","Cond Hydrocarbon",63,41,14,1,0,0,0.65,0.65,44,0.6545,-0.1587,64.82295
"C45 H54 O19 N3 P1 S2",1034.246461,"N3 S2 P1 O19","CHO","Lignin",45,54,19,3,2,1,1.2,1.2,21,0.1864,-0.0667,62.20095
"C68 H109 O2 N1 S2",1034.783581,"N1 S2 O2","CHONS","Lipid",68,109,2,1,2,0,1.6,1.6,15,0.1719,-1.4412,101.3742
"C57 H114 O10 N1 P1 S1",1034.783581,"N1 S1 P1 O10","CHO","Lipid",57,114,10,1,1,1,2,2,2,-0.1224,-1.5614,104.7999
"C70 H117 O2 N1 S1",1034.874874,"N1 S1 O2","CHONS","Lipid",70,117,2,1,1,0,1.67,1.67,13,0.1493,-1.5429,104.27265
"C59 H122 O10 N1 P1",1034.874874,"N1 P1 O10","CHONP","Lipid",59,122,10,1,0,1,2.07,2.07,0,-0.1346,-1.678,108.123
"C67 H109 O3 N1 S2",1038.778357,"N1 S2 O3","CHONS","Lipid",67,109,3,1,2,0,1.63,1.63,14,0.152,-1.4328,101.1348
"C66 H105 O8 N1",1038.778357,"N1 O8","CHON","Lipid",66,105,8,1,0,0,1.59,1.59,15,0.1639,-1.303,97.4355
"C71 H108 O1 S2",1039.777786,"S2 O1","CHOS","Other",71,108,1,0,2,0,1.52,1.52,18,0.2263,-1.4366,101.2431
"C60 H113 O9 P1 S1",1039.777786,"S1 P1 O9","CHO","Lipid",60,113,9,0,1,1,1.88,1.88,5,-0.028,-1.55,104.475
"C68 H107 O7 N1",1048.79879,"N1 O7","CHON","Lipid",68,107,7,1,0,0,1.57,1.57,16,0.1811,-1.3235,98.01975
"C72 H106 O5",1049.798302,"O5","CHO","Unsat Hydrocarbon",72,106,5,0,0,0,1.47,1.47,20,0.2518,-1.3333,98.29905
"C68 H111 O3 N1 S2",1052.794122,"N1 S2 O3","CHONS","Lipid",68,111,3,1,2,0,1.63,1.63,14,0.1496,-1.4412,101.3742
"C57 H116 O11 N1 P1 S1",1052.794122,"N1 S1 P1 O11","CHO","Lipid",57,116,11,1,1,1,2.04,2.04,1,-0.1546,-1.5614,104.7999
"C58 H90 O15 N2",1053.62795,"N2 O15","CHON","Lipid",58,90,15,2,0,0,1.55,1.55,15,0.1134,-0.931,86.8335
"C72 H110 O1 S2",1053.793247,"S2 O1","CHOS","Other",72,110,1,0,2,0,1.53,1.53,18,0.223,-1.4444,101.4654
"C71 H106 O6",1053.793247,"O6","CHO","Unsat Hydrocarbon",71,106,6,0,0,0,1.49,1.49,19,0.2353,-1.3239,98.03115
"C74 H106 O4",1057.802766,"O4","CHO","Unsat Hydrocarbon",74,106,4,0,0,0,1.43,1.43,22,0.2778,-1.3243,98.04255
"C66 H110 O6 N2 S1",1057.802766,"N2 S1 O6","CHONS","Lipid",66,110,6,2,1,0,1.67,1.67,13,0.1167,-1.3636,99.1626
"C55 H115 O14 N2 P1",1057.802766,"N2 P1 O14","CHONP","Lipid",55,115,14,2,0,1,2.09,2.09,0,-0.2222,-1.4727,102.27195
"C69 H109 O7 N1",1062.814528,"N1 O7","CHON","Lipid",69,109,7,1,0,0,1.58,1.58,16,0.1783,-1.3333,98.29905
"C66 H101 O8 N1 S1",1066.718936,"N1 S1 O8","CHONS","Other",66,101,8,1,1,0,1.53,1.53,17,0.1833,-1.2121,94.84485
"C55 H106 O16 N1 P1",1066.718936,"N1 P1 O16","CHONP","Lipid",55,106,16,1,0,1,1.93,1.93,4,-0.1333,-1.2909,97.09065
"C69 H113 O3 N1 S2",1066.810035,"N1 S2 O3","CHONS","Lipid",69,113,3,1,2,0,1.64,1.64,14,0.1473,-1.4493,101.60505
"C58 H118 O11 N1 P1 S1",1066.810035,"N1 S1 P1 O11","CHO","Lipid",58,118,11,1,1,1,2.03,2.03,1,-0.1515,-1.569,105.0165
"C60 H109 O9 P1 S2",1067.718534,"S2 P1 O9","CHO","Lipid",60,109,9,0,2,1,1.82,1.82,7,-0.0095,-1.45,101.625
"C59 H105 O14 P1",1067.718534,"P1 O14","CHOP","Lipid",59,105,14,0,0,1,1.78,1.78,8,0,-1.3051,97.49535
"C73 H112 O1 S2",1067.809114,"S2 O1","CHOS","Other",73,112,1,0,2,0,1.53,1.53,18,0.2199,-1.4521,101.68485
"C62 H117 O9 P1 S1",1067.809114,"S1 P1 O9","CHO","Lipid",62,117,9,0,1,1,1.89,1.89,5,-0.027,-1.5645,104.88825
"C68 H54 O9 S2",1077.31465,"S2 O9","CHOS","Unsat Hydrocarbon",68,54,9,0,2,0,0.79,0.79,42,0.5772,-0.4706,73.7121
"C57 H59 O17 P1 S1",1077.31465,"S1 P1 O17","CHO","Lignin",57,59,17,0,1,1,1.04,1.04,29,0.3978,-0.4035,71.79975
"C70 H51 O6 N2 P1 S1",1077.31465,"N2 S1 P1 O6","CHO","Unsat Hydrocarbon",70,51,6,2,1,1,0.73,0.73,47,0.6349,-0.4429,72.92265
"C49 H63 O19 N2 P1 S2",1077.31465,"N2 S2 P1 O19","CHO","Lignin",49,63,19,2,2,1,1.29,1.29,20,0.1594,-0.3061,69.02385
"C57 H112 O11 N1 P1 S2",1080.735263,"N1 S2 P1 O11","CHO","Lipid",57,112,11,1,2,1,1.96,1.96,3,-0.1368,-1.4561,101.79885
"C58 H60 O14 N1 P1 S2",1088.313691,"N1 S2 P1 O14","CHO","Other",58,60,14,1,2,1,1.03,1.03,30,0.4043,-0.431,72.5835
"C56 H55 O18 N3 S1",1088.313691,"N3 S1 O18","CHONS","Lignin",56,55,18,3,1,0,0.98,0.98,31,0.4186,-0.1429,64.37265
"C68 H115 O5 N1 S2",1088.815497,"N1 S2 O5","CHONS","Lipid",68,115,5,1,2,0,1.69,1.69,12,0.104,-1.4412,101.3742
